date,stars,forks,clones_14d,unique_clones_14d,views_14d,unique_views_14d,mcpb_downloads
2026-07-06,0,0,,,,,11
2026-07-13,0,0,,,,,23
2026-07-20,0,0,,,,,31
2026-07-27,0,0,,,,,45
2026-08-03,0,0,,,,,139
2026-08-10,0,0,,,,,157
